#hcp	Fe	MgO
P(Gpa)	dP	T	dT	V(A^3)	dV	V(A^3)	dV
41.5691	0	300	1	19.053	0.002	62.625	0.005
47.5541	0.1753	1759	47.1	19.269	0.006	63.195	0.007
41.7757	0	300	1	19.066	0.004	62.586	0.006
52.4359	0	2038	51.97	19.175	0.004	62.591	0.009
52.917	0	2117	80.27	19.255	0.003	62.602	0.006
46.2589	0	300	1	18.881	0.001	61.748	0.004
52.2887	0.1939	1818	45.4	19.094	0.006	62.346	0.003
51.6519	0.1978	1485	65.4	19.129	0.004	62.061	0.010
53.3907	0.0298	1519	56.8	18.989	0.002	61.786	0.007
55.0794	0.0805	1632	167.6	18.976	0.003	61.613	0.007
54.8298	0.2095	1752	134.4	19.003	0.003	61.798	0.006
55.4639	0.21	1922	99.9	18.933	0.002	61.885	0.005
55.6605	0.2459	2205	94.9	18.948	0.003	62.185	0.009
48.3045	0	300	1	18.761	0.003	61.386	0.007
59.3007	1.7925	2503	117.3	19.053	0.002	61.879	0.008
57.3881	0	2338	141.4	19.062	0.003	62.303	0.008
57.2591	0	2012	106.2	18.917	0.006	61.665	0.007
60.028	0.6153	2575	137.4	18.988	0.004	61.829	0.006
63.3999	0.2999	3188	198.4	18.991	0.003	61.950	0.008
65.4429	2.6163	3399	220.6	18.974	0.004	61.830	0.012
60.2883	0.2243	2486	117.2	18.870	0.003	61.674	0.010
59.3395	0.3683	2375	116.1	18.840	0.002	61.714	0.012
55.1595	0.2386	1892	115.1	18.888	0.003	61.902	0.009
53.8825	0.0623	1578	102.1	18.910	0.003	61.765	0.009
53.9376	0.0723	1450	132.2	18.875	0.004	61.605	0.009
53.0883	0.054	1324	323	18.854	0.006	61.612	0.010

75.4026	0	300	1	17.657	57.302	0.007
80.9436	0.052	1441	63.3	17.853	0.004	57.457	0.007
85.6413	0.207	2104	58.2	17.739	0.007	57.414	0.006
86.6887	0.3521	2347	89	17.752	0.009	57.483	0.006
87.6737	0.1574	2496	103.8	17.743	0.005	57.485	0.005
84.2323	0.0971	1797	68.8	17.725	0.005	57.336	0.004
83.6214	0.0602	1696	96.2	17.713	0.006	57.326	0.004
81.9017	0.0884	1448	134.5	17.750	0.005	57.338	0.006
84.317	0.2998	1934	69.9	17.760	0.005	57.438	0.005
84.8394	0.0974	2013	70.3	17.755	0.007	57.438	0.006
85.1048	0.1054	2084	66.4	17.765	0.006	57.468	0.006
85.3075	0.1582	2153	65	17.778	0.006	57.502	0.006
86.5451	0.2869	2409	76.8	17.797	0.005	57.558	0.007
86.5346	0.2565	2468	78.5	17.805	0.008	57.611	0.007
86.7337	0.3335	2596	95.6	17.912	0.009	57.697	0.008
86.4824	0.3254	2558	111.2	17.843	0.009	57.696	0.006
87.1354	0	300	1	17.285	0.005	55.861	0.004
97.5676	0.0965	2064	104.8	17.387	0.006	55.908	0.004
96.4298	0.1449	1857	11	17.371	0.004	55.882	0.004
95.7742	0.0539	1766	87	17.331	0.005	55.883	0.004
94.7609	0.0223	1568	119.2	17.328	0.004	55.854	0.004
100.1116	0.1365	2345	66.3	17.336	0.004	55.824	0.004
102.0109	0.2791	2657	81.6	17.348	0.005	55.848	0.004
99.3626	0.1986	2206	110.7	17.356	0.004	55.806	0.004
98.7498	0.4772	2371	69.5	17.354	0.004	56.004	0.005
99.632	0.1753	2555	62.2	17.361	0.004	56.047	0.004
99.3403	0.1618	2426	56.3	17.367	0.003	55.981	0.005
102.4882	0.4042	2746	106.7	17.403	0.005	55.858	0.004
103.5536	0.2569	2889	141.6	17.356	0.004	55.848	0.004
104.4787	0.2836	3028	130.2	17.361	0.005	55.843	0.004
104.8809	0.3529	3054	114.2	17.328	0.004	55.821	0.004
105.5185	0.3877	3227	98.9	17.396	0.006	55.877	0.004
120.6177	0.1829	1640	68.8	16.682	0.004	53.188	0.004
120.2584	0.1627	1564	131.6	16.657	0.004	53.178	0.005
122.8694	0.3927	2044	69.8	16.671	0.004	53.229	0.005
121.8227	0.3256	1865	66.1	16.640	0.003	53.214	0.005
120.7461	0.0764	1702	76.3	16.645	0.003	53.213	0.005
114.5921	0	300	1	16.553	0.002	53.006	0.004
125.0864	0.4716	2272	94.1	16.626	0.003	53.160	0.004
126.2971	0.5891	2590	85.5	16.625	0.003	53.250	0.004
127.9736	1.4755	2976	112	16.683	0.004	53.338	0.006
125.2601	0.5834	2539	116.2	16.677	0.004	53.316	0.006
114.8058	0	300	1	16.570	0.002	52.984	0.005
126.0385	0.1394	1999	93.7	16.581	0.003	52.902	0.004
127.5697	0.2478	2240	83.8	16.608	0.003	52.913	0.004
117.8332	0	300	1	16.516	0.003	52.706	0.004
117.7603	0	300	1	16.512	0.002	52.709	0.004

79.154	0	300	1	17.527	0.004	56.820	0.010
80.4887	0	300	1	17.519	0.003	56.653	0.007
84.8381	0	1495	0	17.730	0.003	57.003	0.012
95.4857	0.0713	1988	89.5	17.432	0.003	56.090	0.007
95.9014	0.1809	2034	69.8	17.429	0.004	56.081	0.008
93.6848	0.1092	1577	124	17.397	0.003	55.988	0.007
93.3665	0.0676	1424	104.7	17.366	0.003	55.905	0.008
94.9057	0.1259	1677	111.9	17.392	0.004	55.920	0.007
94.7875	0.1264	1848	95.1	17.421	0.003	56.066	0.007
96.0576	0.2538	2117	83.3	17.444	0.003	56.124	0.008
96.6381	0.2025	2247	101.4	17.443	0.003	56.158	0.007
96.1836	0.1946	2254	80.6	17.464	0.003	56.221	0.008
95.0985	0.1615	2315	73.2	17.478	0.003	56.400	0.006
94.8731	0.2915	2421	65.9	17.489	0.004	56.511	0.007
94.8386	0.2306	2522	72.3	17.517	0.004	56.599	0.008
98.4495	0.2989	2812	141.4	17.499	0.004	56.391	0.007
85.9993	0	300	1	17.373	0.003	55.993	0.006

87.9374	0	300	1	17.248	0.006	55.763	0.005
90.7903	0	300	1	17.168	0.004	55.443	0.007
97.0205	0.1191	1570	112.4	17.226	0.004	55.591	0.006
98.0102	0.0842	1774	73.6	17.233	0.005	55.632	0.006
86.6227	0	1942	81.2	17.386	0.004	55.920	0.011
95.3286	0.2152	2032	86.6	17.422	0.004	56.145	0.012
99.258	0.2124	1937	87.5	17.290	0.005	55.615	0.006
96.5763	0.3347	2187	104.5	17.436	0.004	56.120	0.005
88.4561	0	300	1	17.226	0.004	55.708	0.003
99.9082	0	2486	125	17.281	0.008	55.961	0.006
100.1352	0	2262	107	17.349	0.005	55.761	0.005
99.7464	0.2331	2238	137	17.333	0.006	55.786	0.004
93.7755	0	300	1	17.090	0.002	55.111	0.006
104.714	0	300	1	16.846	0.002	53.958	0.009
106.7789	0	300	1	16.820	0.002	53.757	0.007
113.1566	0.228	1735	69.4	16.853	0.002	53.983	0.005
114.3473	0.1589	1975	102.4	16.887	0.003	54.022	0.006
113.1931	0.2061	1860	85.2	16.884	0.004	54.057	0.005
119.7219	0.3383	1810	81	16.696	0.003	53.381	0.005
111.7739	0	300	1	16.641	0.003	53.266	0.004
122.8021	1.0257	2326	1	16.749	0.003	53.414	0.007
120.9421	0.386	2273	64.8	16.774	0.002	53.562	0.004
121.4083	0.6039	2445	83.8	16.790	0.004	53.627	0.006
121.2404	0.8037	2430	92.8	16.780	0.003	53.632	0.006
112.3329	0	300	1	16.619	0.002	53.218	0.004
125.8461	0.1027	2386	97.8	16.668	0.003	53.161	0.004
