rho[kg/m^3]	drho[kg/m^3]	P[Pa]	dP[Pa]	T[K]	dT[K]
9.734195e+03	1.021802e+00	4.156910e+10	0.000000e+00	300	1.0
9.625077e+03	2.997066e+00	4.755410e+10	1.753000e+08	1759	47.1
9.727557e+03	2.040818e+00	4.177570e+10	0.000000e+00	300	1.0
9.672261e+03	2.017682e+00	5.243590e+10	0.000000e+00	2038	51.97
9.632075e+03	1.500713e+00	5.291700e+10	0.000000e+00	2117	80.27
9.822870e+03	5.202516e-01	4.625890e+10	0.000000e+00	300	1.0
9.713293e+03	3.052255e+00	5.228870e+10	1.939000e+08	1818	45.4
9.695520e+03	2.027397e+00	5.165190e+10	1.978000e+08	1485	65.4
9.767002e+03	1.028701e+00	5.339070e+10	2.980000e+07	1519	56.8
9.773694e+03	1.545167e+00	5.507940e+10	8.050000e+07	1632	167.6
9.759807e+03	1.540779e+00	5.482980e+10	2.095000e+08	1752	134.4
9.795891e+03	1.034795e+00	5.546390e+10	2.100000e+08	1922	99.9
9.788136e+03	1.549737e+00	5.566050e+10	2.459000e+08	2205	94.9
9.885700e+03	1.580785e+00	4.830450e+10	0.000000e+00	300	1.0
9.734195e+03	1.021802e+00	5.930070e+10	1.792500e+09	2503	117.3
9.729599e+03	1.531256e+00	5.738810e+10	0.000000e+00	2338	141.4
9.804177e+03	3.109640e+00	5.725910e+10	0.000000e+00	2012	106.2
9.767517e+03	2.057619e+00	6.002800e+10	6.153000e+08	2575	137.4
9.765974e+03	1.542727e+00	6.339990e+10	2.999000e+08	3188	198.4
9.774724e+03	2.060656e+00	6.544290e+10	2.616300e+09	3399	220.6
9.828596e+03	1.562575e+00	6.028830e+10	2.243000e+08	2486	117.2
9.844247e+03	1.045037e+00	5.933950e+10	3.683000e+08	2375	116.1
9.819230e+03	1.559598e+00	5.515950e+10	2.386000e+08	1892	115.1
9.807806e+03	1.555971e+00	5.388250e+10	6.230000e+07	1578	102.1
9.825992e+03	2.082330e+00	5.393760e+10	7.230000e+07	1450	132.2
9.836937e+03	3.130456e+00	5.308830e+10	5.400000e+07	1324	323.0
1.050380e+04	3.408783e+04	7.540260e+10	0.000000e+00	300	1.0
1.038848e+04	2.327560e+00	8.094360e+10	5.200000e+07	1441	63.3
1.045525e+04	4.125752e+00	8.564130e+10	2.070000e+08	2104	58.2
1.044759e+04	5.296772e+00	8.668870e+10	3.521000e+08	2347	89.0
1.045289e+04	2.945637e+00	8.767370e+10	1.574000e+08	2496	103.8
1.046350e+04	2.951623e+00	8.423230e+10	9.710000e+07	1797	68.8
1.047059e+04	3.546748e+00	8.362140e+10	6.020000e+07	1696	96.2
1.044877e+04	2.943315e+00	8.190170e+10	8.840000e+07	1448	134.5
1.044288e+04	2.940001e+00	8.431700e+10	2.998000e+08	1934	69.9
1.044582e+04	4.118320e+00	8.483940e+10	9.740000e+07	2013	70.3
1.043994e+04	3.526015e+00	8.510480e+10	1.054000e+08	2084	66.4
1.043231e+04	3.520861e+00	8.530750e+10	1.582000e+08	2153	65.0
1.042117e+04	2.927789e+00	8.654510e+10	2.869000e+08	2409	76.8
1.041649e+04	4.680254e+00	8.653460e+10	2.565000e+08	2468	78.5
1.035427e+04	5.202568e+00	8.673370e+10	3.335000e+08	2596	95.6
1.039431e+04	5.242883e+00	8.648240e+10	3.254000e+08	2558	111.2
1.072986e+04	3.103806e+00	8.713540e+10	0.000000e+00	300	1.0
1.066691e+04	3.680996e+00	9.756760e+10	9.650000e+07	2064	104.8
1.067674e+04	2.458520e+00	9.642980e+10	1.449000e+08	1857	11.0
1.070138e+04	3.087352e+00	9.577420e+10	5.390000e+07	1766	87.0
1.070323e+04	2.470737e+00	9.476090e+10	2.230000e+07	1568	119.2
1.069829e+04	2.468457e+00	1.001116e+11	1.365000e+08	2345	66.3
1.069089e+04	3.081304e+00	1.020109e+11	2.791000e+08	2657	81.6
1.068596e+04	2.462771e+00	9.936260e+10	1.986000e+08	2206	110.7
1.068720e+04	2.463339e+00	9.874980e+10	4.772000e+08	2371	69.5
1.068289e+04	2.461353e+00	9.963200e+10	1.753000e+08	2555	62.2
1.067920e+04	1.844739e+00	9.934030e+10	1.618000e+08	2426	56.3
1.065711e+04	3.061859e+00	1.024882e+11	4.042000e+08	2746	106.7
1.068596e+04	2.462771e+00	1.035536e+11	2.569000e+08	2889	141.6
1.068289e+04	3.076691e+00	1.044787e+11	2.836000e+08	3028	130.2
1.070323e+04	2.470737e+00	1.048809e+11	3.529000e+08	3054	114.2
1.066139e+04	3.677188e+00	1.055185e+11	3.877000e+08	3227	98.9
1.111771e+04	2.665797e+00	1.206177e+11	1.829000e+08	1640	68.8
1.113439e+04	2.673805e+00	1.202584e+11	1.627000e+08	1564	131.6
1.112504e+04	2.669317e+00	1.228694e+11	3.927000e+08	2044	69.8
1.114577e+04	2.009454e+00	1.218227e+11	3.256000e+08	1865	66.1
