rho[kg/m^3]	drho[kg/m^3]	P[Pa]	dP[Pa]	T[K]	dT[K]
8.701994e+03	4.082951e-01	1.070000e+10	2.000000e+08	298	1
8.736427e+03	8.230653e-01	1.140000e+10	2.000000e+08	298	1
8.758293e+03	4.135952e-01	1.200000e+10	2.000000e+08	298	1
8.848550e+03	4.221636e-01	1.430000e+10	2.000000e+08	298	1
8.921334e+03	4.291372e-01	1.600000e+10	2.000000e+08	298	1
8.977473e+03	4.345550e-01	1.740000e+10	2.000000e+08	298	1
9.026847e+03	8.786963e-01	1.890000e+10	2.000000e+08	298	1
9.091451e+03	4.456594e-01	2.050000e+10	2.000000e+08	298	1
9.140289e+03	4.504603e-01	2.170000e+10	2.000000e+08	298	1
9.181466e+03	4.545280e-01	2.280000e+10	2.000000e+08	298	1
9.237715e+03	9.202286e-01	2.430000e+10	2.000000e+08	298	1
9.297454e+03	4.660845e-01	2.570000e+10	2.000000e+08	298	1
9.384961e+03	3.799195e+00	2.810000e+10	2.000000e+08	298	1
9.419758e+03	9.568549e-01	2.940000e+10	2.000000e+08	298	1
9.470745e+03	9.672415e-01	3.080000e+10	2.000000e+08	298	1
