V[Angstroms^3]	rho[g/cm^3]	P[GPa]	Pst.dev.[GPa]	T[K]	Tst.dev.[K]	unique_id	science_material	science_formula	science_phase	science_method	data_delimiter	label	entry	drho[g/cm^3]	dP[GPa]	dT[K]	science_cristal	MDsteps	U[kJ/kg]
	8.701994482834277	10.7		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0004082951476955	0.2	1.0	hcp		
	8.73642698255438	11.4		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0008230653335111	0.2	1.0	hcp		
	8.758292803770635	12.0		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0004135952400722	0.2	1.0	hcp		
	8.848550019687353	14.3		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0004221636459774	0.2	1.0	hcp		
	8.921333802138003	16.0		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0004291372265206	0.2	1.0	hcp		
	8.977472695321504	17.4		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0004345550460003	0.2	1.0	hcp		
	9.026847484310666	18.9		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0008786963383929	0.2	1.0	hcp		
	9.091451392776811	20.5		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0004456593819988	0.2	1.0	hcp		
	9.140289212589174	21.7		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0004504602637912	0.2	1.0	hcp		
	9.181465763002326	22.8		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0004545280080694	0.2	1.0	hcp		
	9.237715217046716	24.3		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.0009202286414351	0.2	1.0	hcp		
	9.297453800513685	25.7		298.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-lowP	miozzi2020_hcpfe-lowP	0.000466084509751	0.2	1.0	hcp		
